#ID;#Singer;#Song;#Year;#Language
100001;187 Strassenbande;Extasy;2021;Deutsch
100002;257ers;Holz;2016;Deutsch
100003;2raumwohnung;36grad;2007;Deutsch
100004;2raumwohnung;Besser gehts nicht;2007;Deutsch
100005;Adam und die Mickys;Quellkartoffel und Dupp-Dupp;1979;Deutsch
100006;Adoro;Liebe ist;2007;Deutsch
100007;Adventures of Gummi Bears;Gummibaerenbande Titellied;1985;Deutsch
100008;aerzte;1/2 Lovesong;1998;Deutsch
100009;aerzte;3-Tage Bart;1996;Deutsch
100010;aerzte;Bitte bitte;1988;Deutsch
100011;aerzte;Das letzte Lied des Sommers;2020;Deutsch
100012;aerzte;Himmelblau;2007;Deutsch
100013;aerzte;Junge;2007;Deutsch
100014;aerzte;Lasse redn;2008;Deutsch
100015;aerzte;Mach die Augen zu;1993;Deutsch
100016;aerzte;Maenner sind schweine;1998;Deutsch
100017;aerzte;Manchmal haben Frauen;2000;Deutsch
100018;aerzte;MundF;2012;Deutsch
100019;aerzte;Ohne Dich;1988;Deutsch
100020;aerzte;Schlaflied;1984;Deutsch
100021;aerzte;Schrei nach Liebe;1993;Deutsch
100022;aerzte;True romance;2020;Deutsch
100023;aerzte;Westerland;1988;Deutsch
100024;aerzte;Zeitverschwaendung;2012;Deutsch
100025;aerzte;Zu spaet;2000;Deutsch
100026;Aladdin (1992 film);Arabische Naechte;1992;Deutsch
100027;Aladdin (1992 film);Ein Traum wird wahr;1992;Deutsch
100028;Aladdin (2019 film);Arabische Naechte;2019;Deutsch
100029;Aladdin (2019 film);Ein Traum wird wahr;2019;Deutsch
100030;Aladdin (2019 film);Einen Freund wie mich;2019;Deutsch
100031;Aladdin (2019 film);Ich werd niemals schweigen (Teil 1);2019;Deutsch
100032;Aladdin (2019 film);Ich werd niemals schweigen (Teil 2);2019;Deutsch
100033;Aladdin (2019 film);Prinz Ali;2019;Deutsch
100034;Albers, Hans;Auf der Reeperbahn nachts um halb eins;1953;Deutsch
100035;Al-Deen, Laith;Alles an Dir;2003;Deutsch
100036;Al-Deen, Laith;Bilder von Dir;2000;Deutsch
100037;Al-Deen, Laith;Dein Lied;2002;Deutsch
100038;Alexander, Peter;Denk doch auch mal an dich;1980;Deutsch
100039;Alexander, Peter;Der Papa Wirds Schon Richten;1981;Deutsch
100040;Alexander, Peter;Die kleine Kneipe;1976;Deutsch
100041;Alexander, Peter;Feierabend;1977;Deutsch
100042;Alexander, Peter;Ich zaehle taeglich meine Sorgen;1960;Deutsch
100043;Alexander, Peter;Im weissen Roessl am Wolfgangsee;1960;Deutsch
100044;Alexander, Peter;Sag beim Abschied leise Servus;1966;Deutsch
100045;Alexander, Peter;Schwarzes Gold;1979;Deutsch
100046;Alexander, Peter;Und manchmal weinst du sicher ein paar Traenen;1979;Deutsch
100047;Alexandra;Zigeunerjunge;1967;Deutsch
100048;Alfinito, Daniela;Dann zieh ich meine blue jeans an;2018;Deutsch
100049;Alfinito, Daniela;Du warst jede Traene wert;2019;Deutsch
100050;Alfinito, Daniela;Liebes-Tattoo;2020;Deutsch
100051;Alina;Die Einzige;2017;Deutsch
100052;Alina;Nie vergessen;2017;Deutsch
100053;Alle Achtung;Marie;2020;Deutsch
100054;Allgaeu Power;Boehmischer Traum;2008;Deutsch
100055;Alligatoah;Du bist schoen;2015;Deutsch
100056;Alligatoah;Trostpreis;2013;Deutsch
100057;Alligatoah;Wie Zuhause;2018;Deutsch
100058;Alligatoah;Willst du;2013;Deutsch
